ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"B01N7PFSGG","Meghadutam","https://www.amazon.in/Meghadutam-Kalidasa-ebook/dp/B01N7PFSGG/ref=sr_1_2?crid=1J8KQJMK7UQNJ",2,"255;255"
"B00H9HZL1U","Premchand&#8217;s Kazaki And Other Marvellous Tales","https://www.amazon.in/Premchands-Kazaki-Other-Marvellous-Bookmine-ebook/dp/B00H9HZL1U/ref=tmm_kin_swatch_0?_encoding=UTF8",4,"255;255;300;300"
"B00EALFQ72","Rings of Saturn","https://www.amazon.in/Rings-Saturn-W-G-Sebald-ebook/dp/B00EALFQ72/ref=sr_1_12?keywords=WG+Sebald",2,"255;255"
"B08JS168BJ","Testaments Betrayed","https://www.amazon.in/gp/product/B08JS168BJ/ref=dbs_a_def_rwt_hsch_vapi_tkin_p1_i9",2,"255;255"
"B07KNS1YN1","The Abyss and Other Stories","https://www.amazon.in/ABYSS-Other-Stories-Leonid-Andreyev-ebook/dp/B07KNS1YN1/ref=sr_1_1?keywords=the+abyss+leonid+andreyev",2,"255;255"
"B000FC230S","The Crowd: A Study of the Popular Mind","https://www.amazon.in/Crowd-Study-Popular-Mind-ebook/dp/B000FC230S/ref=sr_1_1?keywords=gustave+le+bon",2,"255;255"
"B0182GW2J0","The Genius of Birds","https://www.amazon.in/Genius-Birds-Intelligent-Life-ebook/dp/B0182GW2J0/ref=sr_1_3?keywords=the+genius+of+birds",2,"255;255"
"B06XXYZZJ4","The Hidden Life of Trees","https://www.amazon.in/Hidden-Life-Trees-Communicate-Discoveries-Secret-ebook/dp/B06XXYZZJ4/ref=sr_1_2?keywords=the+hidden+life+of+trees",4,"255;255;284;284"
"B00N9AVN3Q","The Moth Snowstorm: Nature and Joy","https://www.amazon.in/Moth-Snowstorm-Nature-Joy-ebook/dp/B00N9AVN3Q/ref=sr_1_1?keywords=moth+snowstorm",2,"255;255"
"B076NVV55B","The World of Premchand: Selected Short Stories","https://www.amazon.in/World-Premchand-Selected-Short-Stories-ebook/dp/B076NVV55B/ref=sr_1_3?keywords=the+world+of+Premchand",6,"255;255;300;300;307;307"
"B07MZ6Q6QM","Page Not Found","https://www.amazon.in/Umrao-Jaan-Mirza-Muhammad-Ruswa/dp/B07MZ6Q6QM/ref=sr_1_2?keywords=umrao+jaan+ada",2,"255;255"
"B00C7EGV96","Anthills of the Savannah","https://www.amazon.in/Anthills-Savannah-Penguin-Modern-Classics-ebook/dp/B00C7EGV96/ref=sr_1_1?crid=AJXWD0YOILI0",2,"256;256"
"B006LSVB1M","Anti-Intellectualism in American Life","https://www.amazon.in/Anti-Intellectualism-American-Life-Richard-Hofstadter-ebook/dp/B006LSVB1M/ref=sr_1_1?crid=3TSH97LVOCH8W",2,"256;256"
"B00WAM16BS","GDP: A Brief but Affectionate History","https://www.amazon.in/GDP-Affectionate-History-Revised-expanded-ebook/dp/B00WAM16BS/ref=sr_1_2?keywords=diane+coyle",2,"256;256"
"B087ZCQZHQ","How to Make the World Add Up","https://www.amazon.in/How-Make-World-Add-Differently-ebook/dp/B087ZCQZHQ/ref=sr_1_1?crid=1CEKF4L93Z1J1",2,"256;256"
"B0753L4H6T","The Economic Consequences of the Peace","https://www.amazon.in/Economic-Consequences-Peace-Maynard-Keynes-ebook/dp/B0753L4H6T/ref=sr_1_2?crid=BR1MHP3QRDG7",2,"256;256"
"B004H1T806","The Literature Machine","https://www.amazon.in/Literature-Machine-Essays-Vintage-Classics-ebook/dp/B004H1T806/ref=sr_1_1?crid=2ONAVWT73XB0C",2,"256;256"
"B09JBR5B5R","Whole Numbers and Half Truths: What Data Can and Cannot Tell Us About Modern India","https://www.amazon.in/Whole-Numbers-Half-Truths-Cannot-ebook/dp/B09JBR5B5R/ref=sr_1_1?crid=1UV98B7YVM4LA",12,"256;256;261;261;267;267;268;268;293;293;302;302"
"0688050336","Coming of Age in Samoa","https://www.amazon.in/Coming-Age-Samoa-Psychological-Civilisation/dp/0688050336/ref=sr_1_1?crid=VXXXAPC66J93",2,"257;257"
"B00ER83YP4","Creative Confession","https://www.amazon.in/Paul-Klee-Creative-Confession-Writings-ebook/dp/B00ER83YP4/ref=sr_1_6?crid=2LSA6SXGIQU05",2,"257;257"
"B007KOHV2Y","Lord of the Flies","https://www.amazon.in/Lord-Flies-William-Golding-ebook/dp/B007KOHV2Y/ref=sr_1_2?crid=2LJDZFAWP7P2A",2,"257;257"
"8187649127","Selected writings of Bhupen Khakhar","https://www.amazon.in/Bhupen-Khakhar/dp/8187649127/ref=sr_1_3?crid=DITYI1VKZYAB",2,"257;257"
"1787332810","Sapiens A Graphic History, Volume 1: The Birth of Humankind (SAPIENS: A GRAPHIC HISTORY, 1)","https://www.amazon.in/Sapiens-Graphic-Novel-Yuval-Harari/dp/1787332810/ref=sr_1_3?crid=PGWP41M5DHLU",2,"258;258"
"1787333760","Sapiens A Graphic History, Volume 2: The Pillars of Civilization (SAPIENS: A GRAPHIC HISTORY, 2)","https://www.amazon.in/Sapiens-Graphic-History-Pillars-Civilization/dp/1787333760/ref=sr_1_4?crid=PGWP41M5DHLU",2,"258;258"
"B01F1HOAWA","Alchemy","https://www.amazon.in/Alchemy-Surprising-Power-Ideas-Sense-ebook/dp/B01F1HOAWA/ref=sr_1_1?crid=2B67HL922FGWB",2,"258;258"
"B07PPD6989","This is Your Brain on Music: Understanding a Human Obsession","https://www.amazon.in/This-Your-Brain-Music-Understanding-ebook/dp/B07PPD6989/ref=sr_1_1?keywords=this+is+your+brain+on+music",4,"258;258;273;273"
"B005HDK4N8","Cosmicomics","https://www.amazon.in/Complete-Cosmicomics-Penguin-Modern-Classics-ebook/dp/B005HDK4N8/ref=sr_1_1?crid=17ULNMGFOZE6H",4,"258;258;294;294"
"B01GH07CFC","Irresistible","http://amazon.in/Irresistible-Checking-Scrolling-Clicking-Watching-ebook/dp/B01GH07CFC/ref=sr_1_3?crid=FES3GUG0GUDY",4,"258;258;268;268"
