Episode Number,Episode Title,Episode Date,ASIN,Book Title,Amazon Link,Episode URL
98,"The Deccan Before Shivaji",2018-12-10,"9386228734","Rebel Sultans","https://www.amazon.in/Rebel-Sultans-Deccan-Khilji-Shivaji/dp/9386228734/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2018/12/10/episode-98-the-deccan-before-shivaji/"
144,"Women In Indian History",2019-10-28,"9386228734","Rebel Sultans","https://www.amazon.in/Rebel-Sultans-Deccan-Khilji-Shivaji/dp/9386228734/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2019/10/28/episode-144-women-in-indian-history/"
172,"The Many Cities Of Delhi",2020-05-10,"9386228734","Rebel Sultans","https://www.amazon.in/Rebel-Sultans-Deccan-Khilji-Shivaji/dp/9386228734/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2020/5/10/episode-172-the-many-cities-of-delhi/"
172,"The Many Cities Of Delhi",2020-05-10,"9386228734","Rebel Sultans","https://www.amazon.in/Rebel-Sultans-Deccan-Khilji-Shivaji/dp/9386228734/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2020/5/10/episode-172-the-many-cities-of-delhi/"
101,"The Progress Of Humanity",2018-12-31,"B075ZGBY6Q","Amazon Book Link","https://www.amazon.in/Enlightenment-Now-Science-Humanism-Progress-ebook/dp/B075ZGBY6Q/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/12/31/episode-101-the-progress-of-humanity/"
101,"The Progress Of Humanity",2018-12-31,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/12/31/episode-101-the-progress-of-humanity/"
165,"Genetic Engineering",2020-03-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/3/22/episode-165-genetic-engineering/"
165,"Genetic Engineering",2020-03-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/3/22/episode-165-genetic-engineering/"
200,"The Hunter Becomes The Hunted",2020-11-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/11/22/episode-200-the-hunter-becomes-the-hunted/"
200,"The Hunter Becomes The Hunted",2020-11-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/11/22/episode-200-the-hunter-becomes-the-hunted/"
228,"The Kavita Krishnan Files",2021-06-06,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/6/6/episode-228-the-kavita-krishnan-files/"
228,"The Kavita Krishnan Files",2021-06-06,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/6/6/episode-228-the-kavita-krishnan-files/"
252,"The State Of Our Economy",2021-11-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/11/22/episode-252-the-state-of-our-economy/"
252,"The State Of Our Economy",2021-11-22,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/11/22/episode-252-the-state-of-our-economy/"
258,"The Universe Of Chuck Gopal",2022-01-03,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/1/3/episode-258-the-universe-of-chuck-gopal/"
258,"The Universe Of Chuck Gopal",2022-01-03,"B002XHNM5S","The Blank Slate","https://www.amazon.in/Blank-Slate-Modern-Penguin-Science-ebook/dp/B002XHNM5S/ref=sr_1_12_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/1/3/episode-258-the-universe-of-chuck-gopal/"
